input	prediction
<EOS>	----
Trace	O
graded	O
/	O
hpf	O
<EOS>	----
SARS	B-Disease_or_Syndrome
CoV	I-Laboratory_Procedure
-	I-Diagnostic_Procedure
2	I-Diagnostic_Procedure
(	O
COVID	B-CUI_less
-	O
19	O
)	O
PCR	B-Diagnostic_Procedure
,	O
Resp	O
,	O
QuaL	O
<EOS>	----
Negative	O
<EOS>	----
Anti	B-Laboratory_Procedure
-	O
SARS	B-Disease_or_Syndrome
-	I-Disease_or_Syndrome
CoV	I-Disease_or_Syndrome
-	O
2	O
<EOS>	----
Non	O
-	O
reactive	O
<EOS>	----
Radiology	O
results	O
:	O
Xray	B-Diagnostic_Procedure
spine	I-Diagnostic_Procedure
:	O
IMPRESSION	O
:	O
Diffuse	B-Spatial_Concept
demineralization	B-Pathologic_Function
of	O
the	O
thoracic	B-Body_Part,_Organ,_or_Organ_Component
spine	I-Body_Part,_Organ,_or_Organ_Component
.	O
No	O
acute	B-Qualitative_Concept
<EOS>	----
fracture	B-Injury_or_Poisoning
of	I-Finding
the	I-Finding
thoracic	I-Injury_or_Poisoning
spine	I-Body_Part,_Organ,_or_Organ_Component
visualized	O
.	O
<EOS>	----
CXR	B-Diagnostic_Procedure
:	O
IMPRESSION	O
:	O
Similar	O
minimal	B-Qualitative_Concept
left	B-Spatial_Concept
infrahilar	I-Body_Location_or_Region
subsegmental	B-Body_Location_or_Region
atelectasis	B-Pathologic_Function
.	O
No	O
new	B-Qualitative_Concept
focal	B-Spatial_Concept
<EOS>	----
consolidation	B-Qualitative_Concept
.	O
<EOS>	----
Abd	O
XR	B-Diagnostic_Procedure
:	O
IMPRESSION	O
:	O
<EOS>	----
Nonobstructed	B-Pathologic_Function
,	O
nonspecific	B-Qualitative_Concept
bowel	B-Finding
gas	I-Finding
pattern	I-Finding
with	O
large	B-Quantitative_Concept
stool	B-Laboratory_or_Test_Result
burden	I-Laboratory_or_Test_Result
.	O
<EOS>	----
Expected	O
,	O
similar	O
position	O
of	O
the	B-Medical_Device
gastrojejunostomy	I-Medical_Device
tube	I-Medical_Device
.	O
<EOS>	----
Abd	B-Diagnostic_Procedure
US	I-Diagnostic_Procedure
:	O
1.Slightly	O
limited	B-Qualitative_Concept
exam	B-Health_Care_Activity
secondary	O
to	O
body	O
positioning	O
.	O
<EOS>	----
2.Normal	O
sonographic	O
appearance	O
of	O
the	O
kidneys	O
.	O
<EOS>	----
3.No	O
focal	B-Spatial_Concept
fluid	B-Pathologic_Function
collection	I-Pathologic_Function
or	O
thickened	B-Finding
bowel	I-Finding
loops	I-Finding
seen	O
in	O
the	O
<EOS>	----
abdomen	O
.	O
<EOS>	----
4.Laminar	O
fluid	I-Pathologic_Function
collection	I-Pathologic_Function
deep	O
to	O
the	O
posterior	B-Spatial_Concept
midline	B-Spatial_Concept
incision	B-Spatial_Concept
site	I-Spatial_Concept
<EOS>	----
without	O
associated	B-Qualitative_Concept
hyperemia	B-Finding
.	O
This	O
may	O
reflect	O
a	O
postoperative	B-Temporal_Concept
seroma	B-Pathologic_Function
..	O
<EOS>	----
Reexamination	O
/	O
Reevaluation	O
<EOS>	----
22	O
:	O
56	O
UTI	B-Disease_or_Syndrome
with	O
2	O
+	O
LE	B-Laboratory_Procedure
,	O
52	O
WBC	B-Laboratory_Procedure
.	O
CBC	B-Laboratory_Procedure
,	O
BMP	B-Laboratory_Procedure
nl	O
.	O
<EOS>	----
Will	O
treat	O
with	O
ceftriaxone	B-Antibiotic
for	O
UTI	B-Disease_or_Syndrome
.	O
<EOS>	----
Mom	O
comfortable	O
with	O
going	O
home	O
if	O
remainder	O
of	O
workup	B-CUI_less
is	O
negative	O
with	O
outpatient	O
followup	O
.	O
<EOS>	----
23	O
:	O
57	O
Per	O
ortho	O
,	O
incision	B-Therapeutic_or_Preventive_Procedure
c	O
/	O
d	O
/	O
i	O
,	O
ok	O
to	O
dc	O
home	O
on	O
PO	B-Therapeutic_or_Preventive_Procedure
antibiotics	B-Antibiotic
if	O
remainder	O
of	O
workup	B-CUI_less
neg	O
.	O
<EOS>	----
Re	B-Diagnostic_Procedure
-	I-Diagnostic_Procedure
examination	I-Diagnostic_Procedure
/	O
Re	B-Health_Care_Activity
-	I-Health_Care_Activity
evaluation	I-Health_Care_Activity
:	O
Time	O
09	O
/	O
13	O
/	O
2020	O
00	O
:	O
48	O
:	O
00	O
,	O
Notes	O
I	O
received	O
signout	O
from	O
my	O
colleague	O
L	O
,	O
MD	O
.	O
<EOS>	----
Briefly	O
,	O
M	O
is	O
a	O
13	O
year	O
-	O
old	O
boy	O
with	O
hypotonia	B-Disease_or_Syndrome
,	O
choreoathetosis	B-Disease_or_Syndrome
,	O
intractable	B-Disease_or_Syndrome
epilepsy	I-Disease_or_Syndrome
and	O
intellectual	B-Disease_or_Syndrome
disability	I-Disease_or_Syndrome
presenting	O
with	O
increased	B-Quantitative_Concept
agitation	I-Sign_or_Symptom
and	O
tachycardia	B-Finding
for	O
the	O
past	O
day	O
.	O
<EOS>	----
Of	O
note	O
,	O
he	O
has	O
had	O
a	O
recent	O
admission	O
for	O
tachycardia	B-Finding
in	O
the	O
setting	O
of	O
recent	B-Temporal_Concept
spinal	B-Therapeutic_or_Preventive_Procedure
fusion	I-Therapeutic_or_Preventive_Procedure
w	O
/	O
multiple	B-Quantitative_Concept
complications	B-Pathologic_Function
(	O
including	O
post	B-Temporal_Concept
-	B-Temporal_Concept
op	B-Temporal_Concept
blood	B-Pathologic_Function
loss	I-Pathologic_Function
,	O
need	O
to	O
titrate	O
epilepsy	B-Pharmacologic_Substance
medications	I-Pharmacologic_Substance
,	O
pulm	B-Disease_or_Syndrome
insufficiency	I-Disease_or_Syndrome
)	O
-	O
ultimately	O
he	O
was	O
discharged	O
with	O
resting	B-Finding
heart	B-Health_Care_Activity
rate	I-Health_Care_Activity
in	O
the	O
120s	O
,	O
by	O
multidisciplinary	B-CUI_less
work	B-CUI_less
-	I-CUI_less
up	I-CUI_less
including	O
EEG	B-Diagnostic_Procedure
with	O
neuro	B-CUI_less
and	O
pain	B-Pharmacologic_Substance
medication	I-Pharmacologic_Substance
titration	B-Functional_Concept
with	O
the	O
pain	O
team	O
.	O
<EOS>	----
With	O
regards	O
to	O
tachycardia	B-CUI_less
work	I-CUI_less
-	I-CUI_less
up	I-CUI_less
in	O
the	O
ED	O
so	O
far	O
,	O
CBC	B-Laboratory_Procedure
demonstrated	O
no	O
anemia	B-Disease_or_Syndrome
and	O
he	O
was	O
euvolemic	O
on	O
exam	B-Health_Care_Activity
.	O
<EOS>	----
Proceeded	O
with	O
additional	B-CUI_less
infectious	B-CUI_less
work	I-CUI_less
-	I-CUI_less
up	I-CUI_less
given	O
increased	B-Quantitative_Concept
discomfort	B-Sign_or_Symptom
today	O
,	O
which	O
was	O
notable	O
for	O
no	O
focality	B-Qualitative_Concept
on	O
chest	B-Diagnostic_Procedure
x	I-Diagnostic_Procedure
-	I-Diagnostic_Procedure
ray	I-Diagnostic_Procedure
to	O
suggest	O
pneumonia	B-Disease_or_Syndrome
.	O
<EOS>	----
Ortho	O
also	O
saw	O
patient	O
evaluated	O
surgical	B-Therapeutic_or_Preventive_Procedure
incision	I-Therapeutic_or_Preventive_Procedure
and	O
there	O
was	O
no	O
surgical	B-Pathologic_Function
infection	I-Pathologic_Function
.	O
<EOS>	----
UA	B-Laboratory_Procedure
demonstrated	O
52	O
white	B-Laboratory_Procedure
blood	I-Laboratory_Procedure
cells	I-Laboratory_Procedure
and	O
2	O
+	O
positive	B-Laboratory_or_Test_Result
leuk	B-Laboratory_Procedure
esterase	I-Laboratory_Procedure
most	O
suggestive	O
of	O
a	B-Disease_or_Syndrome
urinary	I-Disease_or_Syndrome
tract	I-Disease_or_Syndrome
infection	I-Disease_or_Syndrome
.	O
<EOS>	----
Obtained	O
abdominal	B-Diagnostic_Procedure
ultrasound	I-Diagnostic_Procedure
to	O
further	O
evaluate	O
kidneys	O
which	O
showed	O
no	O
demonstration	O
of	O
any	O
renal	B-Disease_or_Syndrome
abscess	I-Disease_or_Syndrome
or	O
pyelonephritis	B-Disease_or_Syndrome
.	O
<EOS>	----
Administered	O
1	O
dose	O
of	O
ceftriaxone	B-Antibiotic
and	O
discharged	O
on	O
7	O
-	O
day	O
course	O
of	O
Keflex	B-Pharmacologic_Substance
.	O
<EOS>	----
Abdominal	B-Diagnostic_Procedure
ultrasound	I-Diagnostic_Procedure
also	O
showed	O
seroma	B-Pathologic_Function
(	O
w/o	O
assoc	B-CUI_less
hyperemia	I-Finding
)	O
around	O
post	O
.	O
<EOS>	----
midline	B-Spatial_Concept
spinal	B-Therapeutic_or_Preventive_Procedure
fusion	I-Therapeutic_or_Preventive_Procedure
incision	B-Spatial_Concept
site	I-Spatial_Concept
which	O
I	O
discussed	O
with	O
on	O
-	O
call	O
Ortho	O
resident	O
who	O
said	O
this	O
was	O
an	O
expected	O
finding	O
and	O
no	O
acute	O
concern	O
.	O
<EOS>	----
Of	O
note	O
,	O
heart	B-Health_Care_Activity
rate	I-Health_Care_Activity
is	O
downtrending	O
to	O
the	O
110s	O
during	O
much	O
of	O
the	O
time	O
I	O
was	O
covering	O
for	O
this	O
patient	O
.	O
<EOS>	----
Discharge	O
vital	B-Health_Care_Activity
sign	I-Health_Care_Activity
of	O
heart	B-Health_Care_Activity
rate	I-Health_Care_Activity
133	O
was	O
in	O
the	O
setting	O
of	O
just	O
finishing	O
respiratory	B-CUI_less
/	I-CUI_less
pulmonary	I-CUI_less
toilet	I-CUI_less
(	O
including	O
Atrovent	B-Pharmacologic_Substance
and	O
hypertonic	B-Clinical_Drug
saline	I-Pharmacologic_Substance
nebs	B-Therapeutic_or_Preventive_Procedure
,	O
CoughAssist	B-Finding
,	O
etc	O
.	O
)	O
.	O
<EOS>	----
I	O
discussed	O
all	O
laboratory	B-CUI_less
and	I-CUI_less
imaging	I-CUI_less
findings	I-CUI_less
with	O
his	O
mother	O
,	O
as	O
well	O
as	O
plan	O
of	O
care	O
for	O
treatment	O
of	O
UTI	B-Disease_or_Syndrome
.	O
<EOS>	----
She	O
expressed	O
understanding	O
and	O
agreed	O
with	O
plan	O
for	O
discharge	O
home	O
.	O
<EOS>	----
We	O
have	O
reviewed	O
return	B-Therapeutic_or_Preventive_Procedure
precautions	I-Therapeutic_or_Preventive_Procedure
including	O
fever	B-Sign_or_Symptom
/	O
temp	B-Sign_or_Symptom
instability	I-Finding
while	O
on	O
Keflex	B-Pharmacologic_Substance
,	O
signs	B-CUI_less
of	O
dehydration	B-Disease_or_Syndrome
,	O
urinary	B-Disease_or_Syndrome
retention	I-Disease_or_Syndrome
,	O
increasing	B-Functional_Concept
agitation	B-Sign_or_Symptom
or	O
lethargy	B-Sign_or_Symptom
,	O
vomiting	B-Sign_or_Symptom
or	O
apparent	B-CUI_less
abdominal	B-Sign_or_Symptom
pain	I-Sign_or_Symptom
,	O
worsening	B-Qualitative_Concept
tachycardia	B-Finding
despite	O
treatment	B-Therapeutic_or_Preventive_Procedure
of	O
UTI	B-Disease_or_Syndrome
.	O
<EOS>	----
H	O
,	O
MD	O
/	O
PhD	O
<EOS>	----
Impression	O
and	O
Plan	O
<EOS>	----
Diagnosis	O
<EOS>	----
Tachycardia	B-Finding
785.0	O
(	O
ICD10	B-CUI_less
-	I-CUI_less
CM	I-CUI_less
R00.0	O
,	O
Discharge	O
,	O
Medical	O
)	O
<EOS>	----
Urinary	B-Disease_or_Syndrome
tract	I-Disease_or_Syndrome
infection	I-Disease_or_Syndrome
(	O
ICD10	O
-	O
CM	O
N39.0	O
,	O
Discharge	O
,	O
Medical	O
)	O
<EOS>	----
Developmental	B-Finding
delay	I-Finding
(	O
ICD10	B-CUI_less
-	O
CM	O
R62.50	O
,	O
Discharge	O
,	O
Medical	O
)	O
<EOS>	----
Calls	O
-	O
Consults	O
<EOS>	----
-	O
Ortho	O
.	O
<EOS>	----
Plan	O
<EOS>	----
Condition	O
:	O
Improved	O
.	O
<EOS>	----
Disposition	O
:	O
Discharged	O
:	O
Time	O
09	O
/	O
13	O
/	O
2020	O
02	O
:	O
55	O
:	O
00	O
,	O
to	O
home	O
.	O
<EOS>	----
Patient	O
was	O
given	O
the	O
following	O
educational	O
materials	O
:	O
Urinary	B-Disease_or_Syndrome
Tract	I-Disease_or_Syndrome
Infection	I-Disease_or_Syndrome
(	O
UTI	B-Disease_or_Syndrome
)	O
.	O
<EOS>	----
Follow	O
up	O
with	O
:	O
Primary	O
Care	O
Physician	O
,	O
In	O
:	O
1	O
-	O
2	O
days	O
to	O
continue	O
to	O
trend	O
HR	O
/	O
comfort	O
level	O
.	O
<EOS>	----
Counseled	O
:	O
Family	O
,	O
Regarding	O
diagnosis	O
,	O
Regarding	O
diagnostic	O
results	O
,	O
Regarding	O
treatment	O
plan	O
,	O
Regarding	O
prescription	O
,	O
Patient	O
indicated	O
understanding	O
of	O
instructions	O
.	O
<EOS>	----
Addendum	O
<EOS>	----
Teaching	O
-	O
Supervisory	O
Addendum	O
-	O
Brief	O
<EOS>	----
I	O
participated	O
in	O
the	O
following	O
activities	O
of	O
this	O
patients	O
care	O
:	O
the	B-Health_Care_Activity
medical	I-Health_Care_Activity
history	I-Health_Care_Activity
,	O
the	B-Health_Care_Activity
physical	I-Health_Care_Activity
exam	I-Health_Care_Activity
,	O
medical	O
decision	O
making	O
.	O
<EOS>	----
I	O
personally	O
performed	O
:	O
supervision	O
of	O
the	O
patient	O
's	O
care	O
,	O
the	B-Health_Care_Activity
medical	I-Health_Care_Activity
history	I-Health_Care_Activity
,	O
the	B-Health_Care_Activity
physical	I-Health_Care_Activity
exam	I-Health_Care_Activity
.	O
<EOS>	----
The	O
case	O
was	O
discussed	O
with	O
:	O
the	O
resident	O
.	O
<EOS>	----
Evaluation	O
and	O
management	O
service	O
:	O
I	O
agree	O
with	O
the	O
evaluation	O
and	O
management	O
decisions	O
made	O
in	O
this	O
patient	O
's	O
care	O
.	O
<EOS>	----
Results	O
interpretation	O
:	O
I	O
agree	O
with	O
the	O
study	O
interpretation	O
in	O
this	O
patient	O
's	O
care	O
.	O
<EOS>	----
Notes	O
:	O
13	O
-	O
year	O
-	O
old	O
male	O
with	O
multiple	B-CUI_less
medical	I-CUI_less
problems	I-CUI_less
who	O
is	O
status	O
post	O
spinal	B-Therapeutic_or_Preventive_Procedure
fusion	I-Therapeutic_or_Preventive_Procedure
1	O
month	O
ago	O
and	O
now	O
presents	O
with	O
recurrent	B-Temporal_Concept
and	O
persistent	B-Temporal_Concept
tachycardia	B-Finding
in	O
the	O
absence	O
of	O
fever	B-Sign_or_Symptom
or	O
obvious	B-CUI_less
source	O
.	O
<EOS>	----
On	O
exam	B-Health_Care_Activity
he	O
is	O
mostly	O
his	O
baseline	O
.	O
<EOS>	----
Lungs	O
are	O
clear	O
,	O
cardiac	B-Health_Care_Activity
exam	I-Health_Care_Activity
is	O
normal	O
other	O
than	O
tachycardia	B-Finding
,	O
the	O
rest	O
of	O
the	B-Disease_or_Syndrome
PE	I-Disease_or_Syndrome
is	O
as	O
above	O
.	O
<EOS>	----
We	O
checked	O
CBC	B-Laboratory_Procedure
to	O
evaluate	O
for	O
anemia	B-Disease_or_Syndrome
as	O
well	O
as	O
infection	B-Disease_or_Syndrome
,	O
electrolytes	B-Laboratory_Procedure
to	O
evaluate	O
for	O
dehydration	B-Disease_or_Syndrome
,	O
blood	B-Laboratory_Procedure
culture	I-Laboratory_Procedure
ESR	B-Laboratory_Procedure
CRP	B-Laboratory_Procedure
.	O
<EOS>	----
We	O
also	O
obtained	O
x	B-Diagnostic_Procedure
-	I-Diagnostic_Procedure
rays	I-Diagnostic_Procedure
of	O
the	O
T	B-Body_Location_or_Region
-	I-Body_Location_or_Region
spine	I-Body_Location_or_Region
the	O
chest	B-Body_Location_or_Region
and	O
the	O
abdomen	O
to	O
evaluate	O
for	O
breakage	B-Pathologic_Function
of	I-Pathologic_Function
the	I-Medical_Device
hardware	I-Medical_Device
,	O
pneumonia	B-Disease_or_Syndrome
or	O
increased	B-Finding
heart	I-Finding
size	I-Finding
or	O
stool	B-Laboratory_or_Test_Result
burden	I-Laboratory_or_Test_Result
.	O
<EOS>	----
All	O
reassuring	O
except	O
for	O
large	B-Quantitative_Concept
stool	B-Laboratory_or_Test_Result
burden	I-Laboratory_or_Test_Result
.	O
,	O
A	B-Laboratory_Procedure
urine	I-Laboratory_Procedure
test	I-Laboratory_Procedure
revealed	O
52	O
whites	O
.	O
<EOS>	----
A	B-Laboratory_Procedure
culture	I-Laboratory_Procedure
is	O
pending	O
.	O
<EOS>	----
Appreciate	O
orthopedics	O
consult	O
.	O
<EOS>	----
We	O
placed	O
him	O
on	O
BiPAP	B-Pharmacologic_Substance
as	O
he	O
is	O
normally	O
on	O
this	O
at	O
night	O
and	O
provided	O
him	O
with	O
his	O
normal	O
nighttime	O
meds	B-CUI_less
.	O
<EOS>	----
His	B-Health_Care_Activity
heart	I-Health_Care_Activity
rate	I-Health_Care_Activity
came	O
back	O
down	O
to	O
elbow	O
120s	O
in	O
high	O
1	O
teens	O
which	O
is	O
approximately	O
where	O
it	O
was	O
upon	O
discharge	O
during	O
his	O
admission	O
earlier	O
this	O
month	O
.	O
<EOS>	----
He	O
was	O
given	O
ceftriaxone	B-Antibiotic
empirically	O
for	O
probable	O
UTI	B-Disease_or_Syndrome
.	O
<EOS>	----
Anticipate	O
discharge	O
on	O
Keflex	B-Pharmacologic_Substance
for	O
UTI	B-Disease_or_Syndrome
.	O
<EOS>	----
In	O
the	O
meantime	O
obtain	O
ultrasound	B-Diagnostic_Procedure
to	O
evaluate	O
for	O
any	O
sort	O
of	O
fluid	B-Pathologic_Function
collection	I-Pathologic_Function
that	O
could	O
also	O
explain	O
his	B-Finding
tachycardia	I-Finding
.	O
<EOS>	----
Signing	O
out	O
to	O
Dr.	O
M	O
at	O
1	O
AM	O
,	O
I	O
received	O
sign	O
out	O
from	O
Dr.	O
Fat	B-CUI_less
shift	I-CUI_less
change	I-CUI_less
.	O
<EOS>	----
I	O
participated	O
in	O
the	O
care	O
of	O
this	O
patient	O
.	O
<EOS>	----
History	O
reviewed	O
with	O
patient	O
/	O
family	O
and	O
trainee	O
.	O
<EOS>	----
Physical	B-Health_Care_Activity
exam	I-Health_Care_Activity
performed	O
by	O
me	O
.	O
<EOS>	----
I	O
supervised	O
the	O
care	O
of	O
this	O
patient	O
.	O
<EOS>	----
Briefly	O
,	O
13	O
yo	O
M	O
complex	O
pmh	O
who	O
p	O
/	O
w	O
with	O
recurrent	B-Temporal_Concept
and	O
persistent	B-Temporal_Concept
tachycardia	B-Finding
.	O
<EOS>	----
Otherwise	O
at	O
baseline	O
.	O
<EOS>	----
Here	O
in	O
ED	O
workup	B-CUI_less
completed	O
which	O
elucidated	O
a	B-Laboratory_Procedure
UA	I-Laboratory_Procedure
concerning	O
for	O
urinary	B-Disease_or_Syndrome
tract	I-Disease_or_Syndrome
infection	I-Disease_or_Syndrome
.	O
<EOS>	----
Patient	O
had	O
improved	O
vital	B-Health_Care_Activity
signs	I-Health_Care_Activity
,	O
downward	B-Spatial_Concept
trending	I-Laboratory_or_Test_Result
tachycardia	B-Finding
to	O
the	O
110	O
's	O
.	O
<EOS>	----
Plan	O
was	O
made	O
to	O
discharge	O
home	O
,	O
antibiotics	B-Antibiotic
for	O
urinalysis	B-Laboratory_Procedure
,	O
follow	O
-	O
up	O
with	O
primary	O
care	O
provider	O
in	O
2	O
days	O
,	O
ED	O
return	B-Temporal_Concept
precautions	B-Therapeutic_or_Preventive_Procedure
were	O
discussed	O
with	O
family	O
which	O
include	O
worsening	B-Qualitative_Concept
tachycardia	B-Finding
,	O
changes	B-Finding
in	I-Finding
respiratory	I-Finding
status	I-Finding
,	O
or	O
any	O
other	B-CUI_less
concerns	B-CUI_less
.	O
<EOS>	----
Patient	O
observed	O
in	O
ED	O
and	O
serial	B-Quantitative_Concept
exams	B-Health_Care_Activity
performed	O
.	O
<EOS>	----
Remained	O
well	O
appearing	O
without	O
evidence	O
of	O
cardivascular	B-Body_Part,_Organ,_or_Organ_Component
,	O
respiratory	O
,	O
or	O
neurologic	B-Finding
compromise	I-CUI_less
.	O
<EOS>	----
Safe	O
for	O
discharge	O
home	O
.	O
<EOS>	----
Instructions	O
given	O
to	O
family	O
.	O
<EOS>	----
ED	B-Therapeutic_or_Preventive_Procedure
return	B-Therapeutic_or_Preventive_Procedure
precautions	I-Therapeutic_or_Preventive_Procedure
discussed	O
with	O
family	O
.	O
<EOS>	----
Family	O
was	O
in	O
agreement	O
with	O
the	O
discharge	O
plan	O
.	O
<EOS>	----
End of note3.txt	----------


